CD107a,CD3,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin,Type
0.214364053,-0.075558184,-0.540904098,0.267496702,1.364078491,0.578931186,1.879418976,-0.180627452,-0.231029857,-0.2322448,-0.653891725,0.411610891,-0.146125298,1
0.068147184,-0.075558184,-0.616707011,-0.574908673,0.240458565,1.211149084,0.513968794,-0.527287922,-0.149325706,-0.237017988,-0.341084044,-0.559691094,0.053665577,4
-0.475340903,-0.075558184,-0.481039565,-1.496174568,0.49974171,0.73877591,-0.735513327,-0.623369032,-0.735410866,0.107858289,0.826646904,-0.477564508,-0.13941862,9
0.094949791,-0.075558184,-0.616707011,-0.966362895,-0.059546596,0.89225132,1.29044954,-0.696556865,-0.604308492,-0.594024634,-0.319605751,-0.506808558,-0.133030648,4
-0.597488335,-0.075558184,-0.517196537,-0.564789636,-0.336040057,0.817447234,-0.685238203,-1.011531016,-0.49612286,1.703792534,-0.556619642,-1.01146668,-0.146125298,6
0.111131685,-0.075558184,-0.574644526,-0.445664711,0.720248235,1.898208612,-0.063953684,-0.399068233,0.458481514,0.095189562,-0.755438781,-0.652739258,-0.129294116,4
-0.403776925,-0.075558184,-0.031823001,0.208229591,1.622108257,1.02861958,0.475877767,0.377743057,-0.025353575,3.640735333,-0.568414241,-0.149737477,-0.146125298,6
-0.280819923,-0.075558184,-0.616166682,-0.917897369,0.240698238,2.172446499,3.236221505,0.109130195,-0.188112001,-0.435686337,0.378136695,-0.508791312,0.677921289,8
2.904094138,-0.075558184,-0.595846476,-1.660336296,-1.250721856,0.826994904,1.230244039,-1.333061507,-0.681000345,1.460803949,1.347840397,-1.283368357,-0.085765197,8
0.148095765,-0.075558184,-0.576761307,-0.379398671,-0.017075724,1.264953466,3.018797915,-0.376519476,-0.438378889,-0.490994669,-0.619314875,0.072074706,-0.142205811,4
-0.42418805,-0.075558184,-0.466455866,0.034034152,-0.010733378,1.096274393,-0.583863771,-0.219709307,-0.063262544,1.946905219,-0.755227613,-1.125711082,-0.146125298,6
-0.284985639,-0.075558184,-0.60697459,-0.717765569,-0.630278265,0.634287353,-0.833034954,-0.878397339,-0.586503038,-0.297131251,-0.765176548,-0.536870659,-0.146125298,4
-0.746479464,-0.075558184,-0.521382036,-1.565048608,-0.555427216,3.610575482,0.828157305,-0.34846839,-0.933638284,-0.074374266,2.156151985,-1.000301886,5.313720138,11
