ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.080381603,-0.086755992,-0.531918436,0.28841305,-1.18713942,-0.539939983,0.602534622,-0.545849158,-0.472507791,-0.45726196,-0.275959466,-0.495769119,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.096509916,-0.086755992,-0.723812478,-0.092443235,-1.096311517,-1.059686059,-1.283506242,-0.736190594,-0.651637928,0.304274384,-0.275959466,-0.205501723,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.598936943,-0.086755992,-0.26106279,0.181550928,0.156443849,-0.878697799,0.469984013,-0.643231498,-0.634468575,-0.245305129,-0.275959466,-0.063434101,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039792067,-0.086755992,-0.884991591,0.780591993,2.127662405,-1.064102179,0.154348722,0.931312326,-0.303397316,-0.53944899,-0.275959466,-0.42734559,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.56263664,-0.086755992,-0.918444079,-0.116511274,-0.652822341,1.021118052,0.342583894,-0.745888083,-0.626161999,-0.163296784,-0.275959466,-0.752591447,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.183226668,-0.001938827,-0.310280119,-2.343414637,-0.995153671,0.200402062,0.423012196,-0.594274433,-0.6067664,-0.32048584,2.838808367,0.016356947,-0.076812388,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.681082729,-0.086755992,-0.069600685,0.184143601,-0.14910624,1.185069489,-0.319909407,-0.675413915,-0.555909524,-0.378711827,-0.275959466,-0.074922049,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.018453594,-0.086755992,0.084428936,-0.380019404,-0.484824566,0.214665743,0.218212429,-0.655208246,-0.583246648,-0.479141274,-0.275959466,-0.244420176,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.854946744,-0.086755992,-0.768637062,-0.56729211,-0.5948499,-0.188795387,-0.046501309,-0.751772628,-0.642402952,-0.172807822,-0.275959466,-0.220165751,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.462671511,0.025701456,-0.493365968,-0.135594397,-0.438530075,-0.158034692,-0.291568324,-0.659041162,-0.447417333,-0.494998596,-0.275959466,-0.320913051,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.304086577,-0.086755992,-1.637818279,-0.036948379,-1.268530658,-0.825651191,-0.16532168,-0.819380628,-0.615957341,-0.938448004,-0.275959466,-0.976029719,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.130817521,-0.086755992,-2.126284086,-2.429132188,-1.128239784,0.864275279,-0.556828126,-0.537857879,-0.641871479,-0.754040512,2.991307638,0.534894368,-0.076812388,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.641659081,-0.086755992,-0.39807856,-0.29411734,-0.338547296,0.137353571,2.152566706,-0.608720111,-0.579114089,-0.5809462,-0.275959466,-0.637601737,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.168222832,-0.086755992,-0.779859244,0.154421328,-0.316965403,0.401159861,0.429156189,-0.430449207,-0.450923335,-0.393248819,-0.275959466,-0.450582792,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.847640067,-0.086755992,-0.832315389,-2.301377791,-0.654282388,0.332157038,-0.93963443,-0.624702976,-0.610027981,-0.467147713,3.107312264,-0.030076504,-0.076812388,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.533758118,-0.086755992,-0.639442267,-0.585182684,-0.14910624,-0.954937296,0.194481256,-0.164259112,-0.423517141,-0.426766849,-0.115757881,0.351242525,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.408580737,-0.086755992,-0.651812999,0.645434042,-0.831094039,0.861454972,-0.124922753,-0.532302037,-0.610742753,-0.292638549,-0.275959466,-0.304109162,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.695870986,-0.086755992,0.436264764,-0.169128291,-1.051206503,0.088165501,-0.489955907,-0.599729749,-0.502301618,-0.211292947,-0.275959466,-0.011610691,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.116483813,-0.086755992,-0.484025247,0.034572633,-0.84704697,1.659422586,2.26658736,-0.685493066,-0.626345476,-0.57473742,-0.275959466,-0.717199108,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.433027308,-0.086755992,-0.301949041,-0.423726916,0.445650561,-0.919960613,-0.711411815,0.017050869,-0.317345436,-0.432279268,-0.275959466,0.063111434,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.536797931,-0.086755992,-1.485617242,-0.012195507,-0.561990591,-0.449407399,-1.039336908,0.181163834,-0.464599354,-0.573315475,-0.275959466,-0.169280321,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.442536448,-0.086755992,-0.055355057,-0.4402157,-0.431252493,0.732352252,-0.262021237,-0.707327161,-0.420993578,-0.345818886,-0.275959466,-0.362854019,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.840540872,-0.086755992,-1.551256774,-0.62077568,-0.14910624,0.37887154,-1.273828799,-0.821747824,-0.517804949,0.455112665,-0.275959466,-0.714212339,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
